bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [e7ot93x2m8qsbjt84srqwk]","ms":"+3ms","span_id":"3371495e6248cff4","timestamp":"2026-02-25T10:42:54.558Z","trace_flags":"01","trace_id":"17dda28d03aa42ecbe7e2d54411739f9"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [zerpdnyhs1dl90cpjcjkbs]","ms":"+30s","span_id":"da698b0731e65093","timestamp":"2026-02-25T10:47:55.281Z","trace_flags":"01","trace_id":"259a3df0c147147327e68b86e148a60f"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 4ms [zerpdnyhs1dl90cpjcjkbs]","ms":"+4ms","span_id":"00a2c349dd44b57f","timestamp":"2026-02-25T10:47:55.285Z","trace_flags":"01","trace_id":"259a3df0c147147327e68b86e148a60f"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [xlhi6jeujyxza5h77w66a]","ms":"+30s","span_id":"1eb97163c49c7d1a","timestamp":"2026-02-25T10:48:25.363Z","trace_flags":"01","trace_id":"971e1aeb14ef36ea619221c47bf9ee1d"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [xlhi6jeujyxza5h77w66a]","ms":"+2ms","span_id":"142ae28cf6f0b54b","timestamp":"2026-02-25T10:48:25.365Z","trace_flags":"01","trace_id":"971e1aeb14ef36ea619221c47bf9ee1d"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [qpb3k3zhaocy5p00tws8xl]","ms":"+30s","span_id":"a5ba8218f7010b39","timestamp":"2026-02-25T10:48:55.459Z","trace_flags":"01","trace_id":"84fd0eb4eea98369836125d2224a7c9f"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 4ms [qpb3k3zhaocy5p00tws8xl]","ms":"+3ms","span_id":"0079df5bdeea2a52","timestamp":"2026-02-25T10:48:55.462Z","trace_flags":"01","trace_id":"84fd0eb4eea98369836125d2224a7c9f"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [iezew3zs3rmqdlki3o42yh]","ms":"+30s","span_id":"73737bf802845de1","timestamp":"2026-02-25T10:49:25.515Z","trace_flags":"01","trace_id":"a76f1f8231d7d32258eb119ce43af31a"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [iezew3zs3rmqdlki3o42yh]","ms":"+2ms","span_id":"61a7a053079da028","timestamp":"2026-02-25T10:49:25.517Z","trace_flags":"01","trace_id":"a76f1f8231d7d32258eb119ce43af31a"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [gu6xs2ix3biwoe3rdrdsbo]","ms":"+30s","span_id":"61ae162b65e4b180","timestamp":"2026-02-25T10:49:55.584Z","trace_flags":"01","trace_id":"e49cd6246ebfd88ce0d854d5f076e8fc"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [gu6xs2ix3biwoe3rdrdsbo]","ms":"+2ms","span_id":"3ab0fb73cc59b804","timestamp":"2026-02-25T10:49:55.586Z","trace_flags":"01","trace_id":"e49cd6246ebfd88ce0d854d5f076e8fc"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [0oopmdoxi8trhihq93de08o]","ms":"+30s","span_id":"eb8acb9e40748e41","timestamp":"2026-02-25T10:50:25.647Z","trace_flags":"01","trace_id":"c20e01d254e87b95c49648a47bdfcbd7"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [0oopmdoxi8trhihq93de08o]","ms":"+2ms","span_id":"77199fbe5c357ac4","timestamp":"2026-02-25T10:50:25.649Z","trace_flags":"01","trace_id":"c20e01d254e87b95c49648a47bdfcbd7"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [1hmif007c3sfr5jfqmxtzs]","ms":"+30s","span_id":"580313b67527f49b","timestamp":"2026-02-25T10:50:55.729Z","trace_flags":"01","trace_id":"e13833ce3f1df65ba144d2fee233def8"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [1hmif007c3sfr5jfqmxtzs]","ms":"+2ms","span_id":"f5a158b4f39e33da","timestamp":"2026-02-25T10:50:55.731Z","trace_flags":"01","trace_id":"e13833ce3f1df65ba144d2fee233def8"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [tyuygqc192lkmiitonqdq]","ms":"+30s","span_id":"4259db82c5ea3558","timestamp":"2026-02-25T10:51:25.821Z","trace_flags":"01","trace_id":"e7e4f2ca91b5bbcea82aa9bc656292b9"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 5ms [tyuygqc192lkmiitonqdq]","ms":"+6ms","span_id":"13e86f039106c514","timestamp":"2026-02-25T10:51:25.827Z","trace_flags":"01","trace_id":"e7e4f2ca91b5bbcea82aa9bc656292b9"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [xtx7g9k0awmrd5e3sz1zr]","ms":"+30s","span_id":"c555cb01d3b50238","timestamp":"2026-02-25T10:51:55.889Z","trace_flags":"01","trace_id":"670c2ecdf087a4efe6a316e29f96db13"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [xtx7g9k0awmrd5e3sz1zr]","ms":"+3ms","span_id":"e1ebf2dfe06f97c1","timestamp":"2026-02-25T10:51:55.892Z","trace_flags":"01","trace_id":"670c2ecdf087a4efe6a316e29f96db13"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [wdifv2zlekaql2nszeqlwg]","ms":"+30s","span_id":"a109acc746527581","timestamp":"2026-02-25T10:52:25.952Z","trace_flags":"01","trace_id":"d1bd6985326abd4baccc289e54d75594"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [wdifv2zlekaql2nszeqlwg]","ms":"+3ms","span_id":"55226f494648b3c8","timestamp":"2026-02-25T10:52:25.955Z","trace_flags":"01","trace_id":"d1bd6985326abd4baccc289e54d75594"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [qg88x4axwxdxr11zhtf2q]","ms":"+30s","span_id":"5294b540f7a09e60","timestamp":"2026-02-25T10:52:56.038Z","trace_flags":"01","trace_id":"9873ceec1bdf3a051b4cfd31ea621dd5"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [qg88x4axwxdxr11zhtf2q]","ms":"+3ms","span_id":"6f6660b68100ab9c","timestamp":"2026-02-25T10:52:56.041Z","trace_flags":"01","trace_id":"9873ceec1bdf3a051b4cfd31ea621dd5"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [kn7l1fc71lalg6qyj527c]","ms":"+30s","span_id":"c08a06de041d7c15","timestamp":"2026-02-25T10:53:26.119Z","trace_flags":"01","trace_id":"2be81073bbfae0dab853d050b03a7f67"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [kn7l1fc71lalg6qyj527c]","ms":"+3ms","span_id":"ef6815cbfd3b9b1e","timestamp":"2026-02-25T10:53:26.122Z","trace_flags":"01","trace_id":"2be81073bbfae0dab853d050b03a7f67"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [j14sweklxshniv5nbkblq]","ms":"+30s","span_id":"712227a1ed6e6d6f","timestamp":"2026-02-25T10:53:56.201Z","trace_flags":"01","trace_id":"47e9117aa35a14e451a9916a1091d9c4"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [j14sweklxshniv5nbkblq]","ms":"+2ms","span_id":"6c10decb96e9e445","timestamp":"2026-02-25T10:53:56.203Z","trace_flags":"01","trace_id":"47e9117aa35a14e451a9916a1091d9c4"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [bbtt6c9bgftiyppr647m1g]","ms":"+30s","span_id":"bfec1030d97416a7","timestamp":"2026-02-25T10:54:26.277Z","trace_flags":"01","trace_id":"b9f8e9d261da950198c424818634bafe"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [bbtt6c9bgftiyppr647m1g]","ms":"+3ms","span_id":"08775d8c589b012a","timestamp":"2026-02-25T10:54:26.280Z","trace_flags":"01","trace_id":"b9f8e9d261da950198c424818634bafe"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [p6x27frgc1ewqdyjcua1r]","ms":"+30s","span_id":"db0baeb2d8d29784","timestamp":"2026-02-25T10:54:56.349Z","trace_flags":"01","trace_id":"1823b22ce19e7c0ea0931ab260c61a43"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [p6x27frgc1ewqdyjcua1r]","ms":"+3ms","span_id":"f0fa5eb1fedbeeac","timestamp":"2026-02-25T10:54:56.352Z","trace_flags":"01","trace_id":"1823b22ce19e7c0ea0931ab260c61a43"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [ddo195ly84flbbme282m78]","ms":"+30s","span_id":"a599cbf915ce5e08","timestamp":"2026-02-25T10:55:26.430Z","trace_flags":"01","trace_id":"73dcce082de0777d52cc1219d4c73957"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [ddo195ly84flbbme282m78]","ms":"+2ms","span_id":"9762979de0f46ccd","timestamp":"2026-02-25T10:55:26.432Z","trace_flags":"01","trace_id":"73dcce082de0777d52cc1219d4c73957"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [m8vxyjsxqesuzvnjgw1fg]","ms":"+30s","span_id":"9e58a50a660ecdbc","timestamp":"2026-02-25T10:55:56.496Z","trace_flags":"01","trace_id":"a568e183baed7259ce4e9fa3066c78e5"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 4ms [m8vxyjsxqesuzvnjgw1fg]","ms":"+4ms","span_id":"57cf2b7d333941e2","timestamp":"2026-02-25T10:55:56.500Z","trace_flags":"01","trace_id":"a568e183baed7259ce4e9fa3066c78e5"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [cdjy2oc98lworiles6p1gg]","ms":"+30s","span_id":"0ed553b9af2bd14a","timestamp":"2026-02-25T10:56:26.584Z","trace_flags":"01","trace_id":"1da127deb02868f22a44570f8b264e22"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 4ms [cdjy2oc98lworiles6p1gg]","ms":"+4ms","span_id":"2601c7f0d4efa33a","timestamp":"2026-02-25T10:56:26.588Z","trace_flags":"01","trace_id":"1da127deb02868f22a44570f8b264e22"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [vw9l51qghbf2wchicut1q]","ms":"+30s","span_id":"908a87031d500762","timestamp":"2026-02-25T10:56:56.648Z","trace_flags":"01","trace_id":"7e92208fa12b2e8a1d89df848f9c5a66"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [vw9l51qghbf2wchicut1q]","ms":"+2ms","span_id":"a3e027f59ae85aa1","timestamp":"2026-02-25T10:56:56.650Z","trace_flags":"01","trace_id":"7e92208fa12b2e8a1d89df848f9c5a66"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [wmioczzhk0r1x87huyho1b]","ms":"+30s","span_id":"2235e9a5613ce2fa","timestamp":"2026-02-25T10:57:26.713Z","trace_flags":"01","trace_id":"a378887e8306b788feeb03bd4fd49464"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [wmioczzhk0r1x87huyho1b]","ms":"+3ms","span_id":"785d5af6e438f1f3","timestamp":"2026-02-25T10:57:26.716Z","trace_flags":"01","trace_id":"a378887e8306b788feeb03bd4fd49464"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [8o2fmmlmogezwhsodvnn]","ms":"+30s","span_id":"a7463607c0cdab52","timestamp":"2026-02-25T10:57:56.792Z","trace_flags":"01","trace_id":"7e5a64870879e7c9070e9ce2b3805b79"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [8o2fmmlmogezwhsodvnn]","ms":"+2ms","span_id":"af67805592a141af","timestamp":"2026-02-25T10:57:56.794Z","trace_flags":"01","trace_id":"7e5a64870879e7c9070e9ce2b3805b79"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [qihlxoxlymp2gf23egkm]","ms":"+30s","span_id":"8ab107ae9ec13e46","timestamp":"2026-02-25T10:58:26.858Z","trace_flags":"01","trace_id":"5e105e122b63debba17dbba8aac3d841"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [qihlxoxlymp2gf23egkm]","ms":"+2ms","span_id":"7fc4f2bb28d37869","timestamp":"2026-02-25T10:58:26.860Z","trace_flags":"01","trace_id":"5e105e122b63debba17dbba8aac3d841"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [t00uzrmtz7s8ax729i31k]","ms":"+30s","span_id":"3097926f6cb737ef","timestamp":"2026-02-25T10:58:56.937Z","trace_flags":"01","trace_id":"da5313f3decaee06b383156e371aacb4"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [t00uzrmtz7s8ax729i31k]","ms":"+2ms","span_id":"2472058e07950233","timestamp":"2026-02-25T10:58:56.939Z","trace_flags":"01","trace_id":"da5313f3decaee06b383156e371aacb4"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [67i9120tu0gwsu0ki2arg]","ms":"+30s","span_id":"fa60ea824b04b68f","timestamp":"2026-02-25T10:59:27.058Z","trace_flags":"01","trace_id":"c69b3bc8dd9c8273a31fb37024d2b2b4"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 4ms [67i9120tu0gwsu0ki2arg]","ms":"+4ms","span_id":"007635d722e25cd7","timestamp":"2026-02-25T10:59:27.062Z","trace_flags":"01","trace_id":"c69b3bc8dd9c8273a31fb37024d2b2b4"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [xlxte5xrihiqzellkb986]","ms":"+30s","span_id":"1d3f34760610f258","timestamp":"2026-02-25T10:59:57.202Z","trace_flags":"01","trace_id":"4f571969c58eb22fd7dc2abac0a9d5a5"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [xlxte5xrihiqzellkb986]","ms":"+3ms","span_id":"66ce72f69d6025e5","timestamp":"2026-02-25T10:59:57.205Z","trace_flags":"01","trace_id":"4f571969c58eb22fd7dc2abac0a9d5a5"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [dree5abms3k8hirelvjgyy]","ms":"+30s","span_id":"210710e4480ed87c","timestamp":"2026-02-25T11:00:27.272Z","trace_flags":"01","trace_id":"68eb31a7d038f48bd7efbade4cf38e96"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [dree5abms3k8hirelvjgyy]","ms":"+2ms","span_id":"466f4289fd067aca","timestamp":"2026-02-25T11:00:27.274Z","trace_flags":"01","trace_id":"68eb31a7d038f48bd7efbade4cf38e96"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [6o6br17hf3pmgzrnsm2vys]","ms":"+30s","span_id":"53b5e0dc19aafffc","timestamp":"2026-02-25T11:00:57.343Z","trace_flags":"01","trace_id":"fa5c81cbce4ead210ef5207518f0cbb0"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [6o6br17hf3pmgzrnsm2vys]","ms":"+2ms","span_id":"bb3b7a9ca4f95503","timestamp":"2026-02-25T11:00:57.345Z","trace_flags":"01","trace_id":"fa5c81cbce4ead210ef5207518f0cbb0"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [9tdqmhr2m3kkhvf49wg3q]","ms":"+30s","span_id":"4d7d6cd56ae05ab2","timestamp":"2026-02-25T11:01:27.410Z","trace_flags":"01","trace_id":"461ac59ad159745a3b0c4b5825fb439f"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [9tdqmhr2m3kkhvf49wg3q]","ms":"+2ms","span_id":"31734528ba06779c","timestamp":"2026-02-25T11:01:27.412Z","trace_flags":"01","trace_id":"461ac59ad159745a3b0c4b5825fb439f"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [hoeldsnhbtb27mo8ojmuld]","ms":"+30s","span_id":"9fc5f9394a5e8ed3","timestamp":"2026-02-25T11:01:57.484Z","trace_flags":"01","trace_id":"bfefbf1721dea978581e218c088984e2"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [hoeldsnhbtb27mo8ojmuld]","ms":"+3ms","span_id":"160ecfad222e140d","timestamp":"2026-02-25T11:01:57.487Z","trace_flags":"01","trace_id":"bfefbf1721dea978581e218c088984e2"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [fimdj2x6nsni77av4kln]","ms":"+30s","span_id":"aa38bb1a26ffdafb","timestamp":"2026-02-25T11:02:27.567Z","trace_flags":"01","trace_id":"e2c8c931d4fb4a9b87e22f6366cd066b"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [fimdj2x6nsni77av4kln]","ms":"+3ms","span_id":"01a1442e7bd92267","timestamp":"2026-02-25T11:02:27.570Z","trace_flags":"01","trace_id":"e2c8c931d4fb4a9b87e22f6366cd066b"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [9wr2yog8ctfa8krak1wlca]","ms":"+30s","span_id":"9223e3d1a540cd9a","timestamp":"2026-02-25T11:02:57.644Z","trace_flags":"01","trace_id":"147b7aae4d0b362ce3b1b7752b0aa70b"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [9wr2yog8ctfa8krak1wlca]","ms":"+2ms","span_id":"0c3e81c74f19be86","timestamp":"2026-02-25T11:02:57.646Z","trace_flags":"01","trace_id":"147b7aae4d0b362ce3b1b7752b0aa70b"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [zwrj2fyz0ocadq4dwh1lva]","ms":"+30s","span_id":"34e50139379ca3f5","timestamp":"2026-02-25T11:03:27.715Z","trace_flags":"01","trace_id":"6713b9d816bc26557cd4521af2360330"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [zwrj2fyz0ocadq4dwh1lva]","ms":"+1ms","span_id":"d0739b9d5b25e5e0","timestamp":"2026-02-25T11:03:27.716Z","trace_flags":"01","trace_id":"6713b9d816bc26557cd4521af2360330"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [gv9zs0vvkwd5cidzojb94i]","ms":"+30s","span_id":"541b4030a768335d","timestamp":"2026-02-25T11:03:57.788Z","trace_flags":"01","trace_id":"a5d55ae2ea8edfa8025e1e9a6740751f"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [gv9zs0vvkwd5cidzojb94i]","ms":"+3ms","span_id":"4f927a649b03f344","timestamp":"2026-02-25T11:03:57.791Z","trace_flags":"01","trace_id":"a5d55ae2ea8edfa8025e1e9a6740751f"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [7d9apdgp0nexdy0knasp]","ms":"+30s","span_id":"30914180dc41aeac","timestamp":"2026-02-25T11:04:27.863Z","trace_flags":"01","trace_id":"951ccf67df06123eb4605bfc1f3b9ce8"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [7d9apdgp0nexdy0knasp]","ms":"+2ms","span_id":"73f21874557fa21f","timestamp":"2026-02-25T11:04:27.865Z","trace_flags":"01","trace_id":"951ccf67df06123eb4605bfc1f3b9ce8"}
